Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Grade,Final_Result
41,1.2,67.8,88.0,42.6,44.6,A,Pass
42,5.0,85.4,64.9,97.9,21.6,C,Pass
43,0.3,52.3,61.9,37.9,28.7,F,Fail
44,9.1,73.8,29.2,58.3,34.8,F,Fail
45,2.6,92.0,88.8,81.7,26.4,B,Pass
46,6.6,73.1,77.8,79.3,27.1,B,Pass
47,3.1,46.3,25.4,59.6,23.2,C,Pass
48,5.2,31.7,76.6,54.3,32.6,C,Pass
49,5.5,90.9,63.5,57.8,44.0,C,Pass
50,1.8,31.5,26.5,48.5,18.1,F,Fail
51,9.7,91.2,56.7,44.4,47.4,C,Pass
52,7.8,67.0,58.8,63.8,37.6,B,Pass
53,9.4,95.7,33.3,48.8,42.9,F,Fail
54,8.9,85.9,95.7,50.1,32.2,A,Pass
55,6.0,99.9,88.0,76.0,41.2,B,Pass
56,9.2,54.5,73.5,97.8,10.6,B,Pass
57,0.9,83.7,57.0,72.3,42.7,B,Pass
58,2.0,58.1,52.9,35.4,11.6,F,Fail
59,0.5,63.6,72.1,35.3,45.6,F,Fail
60,3.3,73.9,63.6,96.6,49.7,B,Pass
61,3.9,91.2,25.0,50.8,21.8,F,Fail
62,2.7,98.9,61.0,36.4,18.4,C,Pass
63,8.3,83.8,84.5,71.9,40.6,B,Pass
64,3.6,59.2,56.7,73.7,20.1,C,Pass
65,2.8,59.5,24.2,75.4,44.6,F,Fail
66,5.4,81.6,82.9,48.7,14.1,C,Pass
67,1.4,46.7,36.1,31.1,15.0,F,Fail
68,8.0,37.7,40.7,97.6,49.2,B,Pass
69,0.7,54.8,33.2,47.6,37.0,F,Fail
70,9.9,50.1,46.4,77.3,43.9,C,Pass
71,7.7,50.7,80.5,79.5,23.0,C,Pass
72,2.0,46.4,61.6,72.7,37.1,C,Pass
73,0.1,32.9,36.4,51.9,33.8,F,Fail
74,8.2,31.3,90.2,49.0,34.1,B,Pass
75,7.1,99.1,90.4,71.8,37.3,B,Pass
76,7.3,59.9,89.6,90.6,33.0,A,Pass
77,7.7,56.9,39.1,96.3,27.2,C,Pass
78,0.7,77.6,56.1,37.4,21.0,F,Fail
79,3.6,45.3,98.8,40.8,40.7,A,Pass
80,1.2,96.5,81.8,96.1,19.1,F,Fail
81,8.6,85.0,22.2,81.6,37.7,F,Fail
82,6.2,36.3,25.2,91.8,19.3,C,Pass
83,3.3,59.2,57.1,44.2,35.0,F,Fail
84,0.6,91.5,92.7,71.1,39.9,B,Pass
85,3.1,96.1,63.1,79.1,18.7,C,Pass
86,3.3,62.7,59.8,77.6,12.4,F,Fail
87,7.3,72.9,28.4,58.6,15.2,B,Pass
88,6.4,41.7,72.5,31.1,34.2,B,Pass
89,8.9,99.4,85.8,70.8,44.0,A,Pass
90,4.7,46.2,50.4,47.7,11.8,F,Fail
91,1.2,96.0,82.0,61.5,39.4,C,Pass
92,7.1,75.5,97.2,97.0,23.7,F,Fail
93,7.6,72.5,36.3,57.9,29.1,F,Fail
94,5.6,65.9,61.9,88.8,47.2,A,Pass
95,7.7,46.1,43.0,43.2,23.3,C,Pass
96,4.9,42.4,83.4,77.1,28.6,B,Pass
97,5.2,45.4,66.2,98.4,10.5,C,Pass
98,4.3,43.1,70.8,37.1,13.3,F,Fail
99,0.3,84.6,83.8,30.6,20.3,C,Pass
100,1.1,54.5,51.7,60.4,11.1,F,Fail
101,0.3,34.0,93.2,36.5,35.3,F,Fail
102,6.4,97.8,62.6,82.4,27.1,B,Pass
103,3.1,91.9,32.6,94.0,31.9,B,Pass
104,5.1,94.9,75.7,60.4,17.0,B,Pass
105,9.1,99.6,83.5,48.1,21.8,A,Pass
106,2.5,42.2,45.3,60.4,36.6,B,Pass
107,4.1,57.7,88.6,80.6,48.6,B,Pass
108,7.6,83.1,92.5,30.6,12.0,B,Pass
109,2.3,78.7,42.2,71.3,45.6,C,Pass
110,0.8,40.8,98.7,72.9,33.1,B,Pass
111,2.9,87.1,31.3,74.6,32.6,C,Pass
112,1.6,45.7,36.2,46.9,30.0,F,Fail
113,9.3,45.7,34.7,80.0,12.8,F,Fail
114,8.1,67.6,91.5,36.4,13.6,B,Pass
115,6.3,71.5,72.3,43.9,34.0,A,Pass
116,8.7,70.6,32.2,91.4,23.6,B,Pass
117,8.0,36.4,55.2,81.7,46.7,B,Pass
118,1.9,91.4,69.2,31.0,26.3,C,Pass
119,8.9,48.6,26.7,47.4,15.7,C,Pass
120,5.4,39.1,,45.0,38.6,B,Pass
121,8.1,92.2,84.3,49.0,21.7,B,Pass
122,9.0,96.9,60.4,47.3,31.0,B,Pass
123,3.2,90.3,97.4,34.4,37.9,B,Pass
124,1.1,86.7,53.4,62.1,46.0,C,Pass
125,2.3,75.9,98.7,81.3,41.7,B,Pass
126,4.3,68.6,73.4,72.5,37.1,B,Pass
127,8.2,36.1,70.8,77.1,37.2,C,Pass
128,8.6,58.6,33.3,35.7,47.8,B,Pass
129,0.1,56.1,90.6,96.6,21.8,B,Pass
130,5.1,48.2,54.2,88.7,10.0,F,Fail
131,4.2,80.6,33.0,86.4,20.9,F,Fail
132,2.2,64.7,21.0,87.6,18.7,F,Fail
133,1.2,35.7,64.8,95.3,36.5,F,Fail
134,3.4,45.4,62.2,68.1,35.3,C,Pass
135,9.4,77.8,77.5,44.0,33.7,B,Pass
136,3.2,35.3,91.2,73.2,10.6,F,Fail
137,5.2,89.6,26.4,82.0,39.2,C,Pass
138,7.0,64.7,78.5,81.7,22.9,B,Pass
139,3.6,63.6,35.0,66.5,36.6,C,Pass
140,9.7,71.5,88.7,34.8,32.3,B,Pass
141,9.6,87.7,85.5,56.0,23.7,A,Pass
142,2.5,54.3,63.3,94.5,15.4,F,Fail
143,5.0,77.5,76.8,70.9,13.8,B,Pass
144,3.0,69.6,45.1,67.7,43.3,C,Pass
145,2.8,48.7,57.7,48.8,46.7,B,Pass
146,0.4,91.5,85.7,55.8,36.0,B,Pass
147,6.1,85.8,56.7,92.7,14.1,B,Pass
148,5.0,76.1,48.6,76.7,26.1,C,Pass
149,0.5,89.5,59.5,85.1,39.2,F,Fail
150,2.8,90.7,86.3,61.8,41.2,A,Pass
151,9.1,79.6,46.8,74.1,14.7,B,Pass
152,2.4,88.6,33.9,47.4,10.0,F,Fail
153,1.4,78.8,77.0,79.4,38.5,B,Pass
154,4.9,77.6,86.1,59.9,24.3,C,Pass
155,9.9,73.3,28.1,61.0,20.2,B,Pass
156,2.4,82.7,39.2,75.5,10.5,F,Fail
157,6.7,41.1,31.4,95.5,31.6,C,Pass
158,7.6,91.7,47.8,34.5,44.0,B,Pass
159,2.4,91.0,56.0,87.7,48.3,C,Pass
160,7.3,32.0,79.9,50.5,32.6,C,Pass
161,3.7,87.8,72.1,61.1,30.6,B,Pass
162,6.3,39.0,69.7,31.5,13.4,C,Pass
163,6.3,53.5,48.2,51.1,32.0,C,Pass
164,5.4,82.0,87.3,65.2,25.2,B,Pass
165,0.9,41.3,57.7,33.9,34.3,F,Fail
166,8.4,87.3,98.3,64.4,25.5,A,Pass
167,3.2,88.2,70.7,94.9,19.6,B,Pass
168,1.9,65.5,30.1,37.4,13.8,F,Fail
169,0.4,30.4,74.1,83.5,22.6,C,Pass
170,5.9,50.1,46.0,58.7,13.9,F,Fail
171,6.8,73.2,74.9,75.9,17.1,A,Pass
172,0.2,98.7,25.6,48.2,49.5,F,Fail
173,5.1,74.2,34.0,41.2,27.8,B,Pass
174,2.3,48.2,88.5,41.2,31.3,C,Pass
175,6.5,74.4,38.2,34.9,44.9,C,Pass
176,1.7,67.8,87.0,43.0,49.8,F,Fail
177,6.9,84.6,42.3,76.5,33.3,C,Pass
178,3.9,37.5,71.4,91.7,42.5,C,Pass
179,9.4,83.3,75.5,87.0,23.1,B,Pass
180,1.4,67.9,61.0,78.0,22.2,F,Fail
181,3.4,97.4,44.4,37.7,26.1,B,Pass
182,1.1,53.9,37.0,50.2,36.9,F,Fail
183,9.2,74.3,22.7,51.7,37.3,B,Pass
184,8.8,95.2,44.3,47.5,22.6,C,Pass
185,2.6,37.2,72.3,66.1,15.3,F,Fail
186,6.6,95.6,95.1,67.5,35.3,A,Pass
187,8.2,78.2,89.7,55.0,15.1,B,Pass
188,5.6,34.7,81.3,54.8,33.1,B,Pass
189,5.3,51.1,,88.0,37.7,B,Pass
190,,79.6,73.2,85.3,38.0,B,Pass
191,0.9,34.7,40.8,51.5,40.1,C,Pass
192,9.0,70.8,92.6,94.0,44.9,A,Pass
193,9.0,54.2,73.7,96.7,30.0,B,Pass
194,6.3,73.5,64.8,52.9,39.2,B,Pass
195,3.4,33.2,28.9,54.8,34.8,F,Fail
196,3.5,91.0,55.8,65.4,17.5,C,Pass
197,7.3,98.1,56.8,95.9,11.0,B,Pass
198,9.0,97.8,89.2,91.3,21.4,A,Pass
199,8.9,82.5,63.7,37.2,27.7,B,Pass
200,7.8,39.1,50.4,57.5,34.7,B,Pass
201,6.4,83.1,98.1,68.7,44.0,A,Pass
202,0.8,31.7,28.9,65.2,17.8,F,Fail
203,1.6,31.5,53.8,43.6,15.0,F,Fail
204,9.0,52.7,23.4,90.1,48.5,F,Fail
205,6.1,64.2,79.2,77.4,14.3,B,Pass
206,0.1,83.9,93.4,88.7,29.1,B,Pass
207,1.0,77.8,42.4,90.1,33.4,F,Fail
208,6.6,61.2,88.7,82.4,31.7,B,Pass
209,0.1,49.2,43.4,60.7,13.4,F,Fail
210,1.6,99.8,92.9,72.7,12.3,B,Pass
211,5.5,59.8,80.3,41.2,14.2,C,Pass
212,6.9,61.6,84.4,77.2,33.4,B,Pass
213,6.5,41.5,21.4,42.5,31.8,C,Pass
214,2.2,85.6,97.0,78.6,19.3,B,Pass
215,7.1,78.6,78.1,46.1,35.5,B,Pass
216,2.4,45.5,44.4,38.2,42.8,F,Fail
217,3.3,35.8,86.4,41.6,11.7,F,Fail
218,7.5,77.6,42.5,30.1,29.9,C,Pass
219,6.5,75.8,89.8,80.3,37.6,B,Pass
220,8.5,49.1,29.0,81.3,20.1,C,Pass
221,6.6,96.6,76.3,66.0,22.3,B,Pass
222,5.7,40.6,63.3,41.3,34.5,F,Fail
223,0.9,60.3,27.7,35.8,45.9,F,Fail
224,3.7,96.1,39.4,31.3,42.4,B,Pass
225,2.7,59.4,21.0,41.6,33.3,F,Fail
226,2.4,74.7,57.5,92.4,39.2,C,Pass
227,9.7,57.8,44.1,46.9,24.6,B,Pass
228,3.9,49.2,67.9,54.8,35.6,C,Pass
229,8.9,98.9,43.8,37.4,28.6,C,Pass
230,6.3,58.7,44.0,45.6,17.6,F,Fail
231,7.9,92.6,79.5,66.3,38.1,B,Pass
232,5.0,46.1,23.9,72.5,32.3,F,Fail
233,5.8,44.9,92.2,47.2,24.3,B,Pass
234,4.9,32.2,88.2,34.0,46.5,B,Pass
235,2.0,75.6,73.4,57.4,10.8,C,Pass
236,7.2,55.8,67.5,46.4,22.6,B,Pass
237,2.8,90.5,91.4,45.4,12.3,B,Pass
238,0.2,63.1,34.8,97.2,40.7,F,Fail
239,6.5,97.8,26.3,73.1,38.1,B,Pass
240,1.8,43.0,39.2,69.0,23.3,F,Fail
241,9.4,90.8,83.6,59.1,37.0,B,Pass
242,9.5,84.4,22.8,60.0,25.8,C,Pass
243,9.1,84.0,66.6,67.9,40.3,B,Pass
244,3.7,89.1,99.6,78.8,28.2,B,Pass
245,0.2,83.3,88.5,79.2,26.5,A,Pass
246,9.3,73.8,61.7,42.0,47.4,B,Pass
247,4.3,39.2,25.1,65.0,20.0,F,Fail
248,,32.3,86.5,58.8,14.8,B,Pass
249,9.6,94.5,67.9,90.9,33.4,A,Pass
250,8.5,73.2,29.2,74.2,48.8,B,Pass
251,2.9,85.8,27.5,67.3,25.1,B,Pass
252,3.9,63.7,92.8,38.1,12.5,F,Fail
253,8.5,38.2,73.5,72.4,23.6,F,Fail
254,3.2,38.8,86.3,38.2,30.2,C,Pass
255,1.7,78.0,90.3,53.6,16.5,B,Pass
256,5.6,60.1,65.7,40.0,36.3,F,Fail
257,9.4,44.0,61.4,78.4,49.9,F,Fail
258,7.0,64.4,54.4,44.4,28.1,B,Pass
259,5.7,34.5,45.4,57.4,24.2,F,Fail
260,1.0,70.7,54.8,92.7,26.0,F,Fail
261,6.2,48.8,81.9,44.3,14.6,F,Fail
262,9.9,85.8,68.2,65.5,45.3,B,Pass
263,1.4,51.7,91.4,59.3,26.6,C,Pass
264,5.2,61.9,55.5,31.3,25.5,F,Fail
265,8.8,30.8,68.6,85.5,36.4,B,Pass
266,7.4,35.1,70.5,34.8,27.7,F,Fail
267,7.0,57.5,67.3,63.2,35.9,C,Pass
268,7.0,63.6,76.2,69.2,12.5,C,Pass
269,3.6,72.0,39.0,74.0,42.5,C,Pass
270,2.9,50.4,61.0,78.2,47.6,C,Pass
271,8.1,78.6,28.3,47.7,36.0,B,Pass
272,8.1,90.2,50.8,30.7,48.2,C,Pass
273,8.7,84.6,59.0,80.6,16.1,B,Pass
274,9.1,32.8,72.2,67.5,29.1,B,Pass
275,5.1,63.6,96.0,88.5,34.1,A,Pass
276,5.0,37.3,68.1,87.5,33.3,C,Pass
277,8.0,46.9,79.5,89.0,26.1,B,Pass
278,6.5,99.1,60.5,64.0,23.5,F,Fail
279,7.0,40.0,70.7,53.4,15.1,F,Fail
280,8.0,64.9,25.7,85.4,25.7,B,Pass
281,8.9,73.3,40.4,61.6,16.5,C,Pass
282,3.4,79.2,48.9,42.8,39.4,B,Pass
283,3.8,69.2,57.8,89.8,18.4,F,Fail
284,0.9,30.7,23.7,91.8,12.3,F,Fail
285,5.8,52.9,31.2,62.6,32.1,B,Pass
286,0.4,66.2,42.1,35.3,33.8,F,Fail
287,4.7,36.2,97.7,57.1,44.9,B,Pass
288,5.4,54.5,46.5,86.2,33.1,C,Pass
289,2.9,32.3,58.6,93.1,23.8,F,Fail
290,5.9,35.5,35.7,44.2,42.1,B,Pass
291,0.3,57.8,68.9,34.7,31.6,F,Fail
292,0.4,39.3,42.5,91.4,13.2,F,Fail
293,8.2,69.7,36.6,57.3,32.6,F,Fail
294,3.6,78.3,61.3,67.9,46.3,C,Pass
295,1.3,86.0,20.4,97.8,25.9,B,Pass
296,5.2,44.0,20.6,34.7,21.9,F,Fail
297,7.7,41.7,37.5,75.4,15.7,B,Pass
298,2.2,37.3,22.9,35.2,16.1,F,Fail
299,6.2,74.6,28.6,56.3,27.3,F,Fail
300,0.9,79.5,47.1,86.3,33.8,B,Pass
301,0.5,32.2,84.2,60.3,13.2,F,Fail
302,5.3,95.5,65.8,99.8,47.6,A,Pass
303,5.4,33.6,61.0,69.1,40.2,C,Pass
304,6.4,67.9,43.5,52.5,33.5,F,Fail
305,7.3,79.6,94.5,45.4,43.1,A,Pass
306,9.8,91.0,51.8,54.5,13.2,A,Pass
307,5.2,80.0,27.0,56.1,29.1,C,Pass
308,3.2,86.1,69.4,34.8,35.2,B,Pass
309,8.0,53.8,29.1,55.9,43.1,B,Pass
310,2.7,87.0,47.6,62.5,41.3,B,Pass
311,4.4,35.6,60.6,80.6,21.1,C,Pass
312,0.8,92.6,89.9,76.0,47.6,B,Pass
313,0.3,68.3,59.5,79.6,15.0,F,Fail
314,9.6,87.2,76.2,30.6,45.0,A,Pass
315,8.4,61.7,99.4,45.2,48.8,B,Pass
316,7.0,75.1,30.5,76.3,17.1,B,Pass
317,4.1,66.8,42.0,63.9,38.9,C,Pass
318,1.7,81.2,51.6,30.4,11.6,F,Fail
319,1.6,35.7,53.7,86.3,26.2,C,Pass
320,2.5,34.2,52.9,84.1,30.7,F,Fail
321,5.5,47.3,92.6,68.4,33.2,B,Pass
322,7.1,41.2,77.1,34.7,47.4,B,Pass
323,6.6,91.0,68.6,83.7,36.9,B,Pass
324,2.8,45.3,44.7,70.9,29.3,C,Pass
325,9.5,98.3,85.9,84.7,42.4,A,Pass
326,7.4,53.6,96.4,82.6,48.0,B,Pass
327,5.5,42.7,85.7,86.2,10.9,F,Fail
328,6.1,85.3,20.1,66.3,49.3,B,Pass
329,4.2,76.1,70.9,39.8,13.4,C,Pass
330,2.5,64.9,24.1,77.0,42.6,F,Fail
331,3.6,68.9,40.6,73.4,21.2,F,Fail
332,7.6,80.3,24.8,82.0,15.3,F,Fail
333,0.1,46.0,68.3,41.9,27.6,F,Fail
334,1.2,99.7,74.9,43.6,35.8,B,Pass
335,0.5,98.2,29.2,92.3,25.2,F,Fail
336,0.4,75.5,50.7,82.5,12.2,F,Fail
337,8.6,44.0,56.5,93.6,34.0,B,Pass
338,7.0,77.6,49.5,83.1,46.1,B,Pass
339,4.7,35.1,29.7,71.8,25.3,B,Pass
340,1.0,32.1,53.5,75.8,18.7,F,Fail
341,4.9,48.0,80.1,92.2,27.7,B,Pass
342,4.7,62.4,25.7,70.5,11.9,C,Pass
343,1.7,90.8,26.4,74.3,42.8,F,Fail
344,4.3,80.9,48.4,41.0,43.1,B,Pass
345,4.0,82.0,95.3,63.2,33.5,B,Pass
346,6.2,59.8,73.5,80.1,24.1,B,Pass
347,6.4,,74.3,49.0,42.0,A,Pass
348,0.5,56.0,49.0,44.2,32.2,C,Pass
349,3.7,99.1,67.5,52.0,43.0,B,Pass
350,6.3,32.8,20.8,46.9,35.3,F,Fail
351,5.0,90.7,70.9,45.0,41.4,C,Pass
352,8.6,70.5,93.1,59.7,33.9,B,Pass
353,6.6,60.7,69.0,93.5,26.6,B,Pass
354,1.6,80.8,89.9,65.5,48.3,C,Pass
355,0.7,64.1,77.9,43.2,31.6,F,Fail
356,6.4,91.1,29.6,35.4,34.2,C,Pass
357,0.3,93.0,92.2,78.7,18.8,C,Pass
358,5.9,59.5,25.3,56.8,35.0,F,Fail
359,9.4,49.4,62.7,87.5,32.9,B,Pass
360,5.8,71.5,31.4,76.2,17.4,F,Fail
361,3.9,,20.9,85.7,12.4,F,Fail
362,6.4,44.7,53.8,49.0,34.2,B,Pass
363,4.6,73.6,43.6,78.5,40.5,F,Fail
364,5.5,74.2,58.9,48.5,30.9,F,Fail
365,9.4,81.3,66.2,95.7,19.1,B,Pass
366,3.9,39.2,23.5,74.5,36.7,C,Pass
367,9.6,80.1,29.8,52.7,13.2,C,Pass
368,9.1,93.6,64.7,48.9,27.7,B,Pass
369,2.0,42.6,47.5,43.4,16.5,F,Fail
370,0.7,46.6,78.3,78.6,17.4,F,Fail
371,1.0,98.0,72.2,45.3,18.1,C,Pass
372,0.2,42.7,87.6,71.7,25.5,C,Pass
373,0.9,89.8,75.4,48.5,12.0,F,Fail
374,6.8,64.5,54.4,76.3,25.9,B,Pass
375,0.7,47.3,73.8,87.0,30.5,F,Fail
376,3.2,91.0,42.0,84.5,29.3,B,Pass
377,8.4,61.2,44.5,83.3,25.3,B,Pass
378,0.2,66.0,83.1,43.1,43.6,C,Pass
379,8.1,55.1,55.7,36.2,15.8,C,Pass
380,2.8,71.5,83.9,78.9,30.2,B,Pass
381,1.2,41.4,85.8,55.8,12.5,C,Pass
382,7.0,57.4,88.6,60.3,12.8,C,Pass
383,6.3,97.9,93.3,32.2,33.0,B,Pass
384,8.8,48.1,54.5,48.2,32.6,B,Pass
385,7.4,76.0,45.5,32.4,45.1,C,Pass
386,8.0,52.8,66.6,91.5,32.3,B,Pass
387,2.8,84.1,49.7,47.0,48.4,B,Pass
388,1.8,39.2,68.1,69.0,11.9,F,Fail
389,7.5,97.9,76.4,32.7,13.9,B,Pass
390,8.1,61.8,75.1,76.7,11.8,C,Pass
391,9.9,46.5,50.0,52.6,17.4,B,Pass
392,4.1,35.1,33.3,92.9,31.7,F,Fail
393,3.7,41.9,54.4,92.2,35.8,B,Pass
394,7.8,66.4,31.4,52.8,11.8,F,Fail
395,3.4,53.6,91.2,93.1,47.8,C,Pass
396,9.3,88.0,47.7,99.7,43.7,A,Pass
397,8.6,60.2,32.4,87.8,21.9,F,Fail
398,4.3,47.4,22.0,89.1,13.1,F,Fail
399,7.5,73.2,71.7,47.4,16.8,B,Pass
400,7.5,79.5,71.0,70.4,15.1,B,Pass
401,1.0,41.7,47.2,34.7,14.9,C,Pass
402,9.0,41.7,25.7,36.6,30.7,B,Pass
403,5.1,32.6,52.8,99.9,19.8,F,Fail
404,8.3,81.5,44.9,52.9,24.3,B,Pass
405,3.2,76.5,74.2,82.4,49.6,B,Pass
406,9.0,63.2,68.5,86.5,37.4,C,Pass
407,3.9,89.1,49.2,90.1,48.0,C,Pass
408,0.1,86.4,37.4,99.8,15.7,F,Fail
409,9.1,71.0,99.0,46.9,25.3,C,Pass
410,0.9,90.8,56.3,32.8,32.2,C,Pass
411,3.2,44.4,75.1,58.8,13.1,F,Fail
412,9.5,37.8,31.2,39.1,10.2,F,Fail
413,9.5,48.9,58.8,31.6,36.8,B,Pass
414,5.7,34.0,22.2,55.2,35.7,C,Pass
415,6.3,67.2,60.4,84.9,26.4,B,Pass
416,4.5,95.6,97.1,69.6,29.6,B,Pass
417,2.9,32.8,50.7,51.9,26.6,F,Fail
418,3.3,38.5,23.1,75.8,11.0,F,Fail
419,6.7,61.7,22.5,46.2,23.4,F,Fail
420,7.5,95.4,51.0,31.0,17.1,C,Pass
421,7.9,52.1,32.8,83.5,13.9,C,Pass
422,7.9,65.5,21.9,73.7,48.3,B,Pass
423,0.9,32.9,80.5,83.4,34.0,F,Fail
424,4.9,40.4,56.7,32.7,39.1,B,Pass
425,0.6,99.1,43.1,88.6,22.6,F,Fail
426,5.5,97.6,92.0,73.4,25.7,B,Pass
427,4.4,30.3,29.3,69.4,19.5,F,Fail
428,8.9,96.6,96.5,73.7,13.9,A,Pass
429,3.5,74.7,45.1,90.5,17.2,F,Fail
430,1.2,90.8,91.1,71.1,41.9,B,Pass
431,1.4,,68.2,70.7,37.1,F,Fail
432,7.6,66.1,86.1,99.3,31.9,B,Pass
433,6.2,64.2,98.7,83.0,29.0,A,Pass
434,1.0,76.7,43.1,61.0,46.9,B,Pass
435,0.8,39.8,96.9,79.5,12.9,F,Fail
436,7.0,32.1,51.2,57.2,21.2,B,Pass
437,0.7,51.6,50.8,46.0,24.0,F,Fail
438,8.2,79.3,47.2,71.8,41.3,B,Pass
439,7.1,44.1,63.3,95.0,49.7,B,Pass
440,0.8,77.1,32.3,95.0,19.6,F,Fail
441,0.8,97.9,64.3,53.9,45.0,C,Pass
442,9.9,36.6,63.3,66.9,43.2,B,Pass
443,3.7,77.1,81.0,44.8,19.0,C,Pass
444,3.7,61.1,86.7,99.7,26.0,B,Pass
445,8.1,90.8,55.2,98.7,26.4,B,Pass
446,9.5,42.4,44.2,75.5,49.1,C,Pass
447,9.9,78.5,40.7,86.3,17.2,B,Pass
448,7.5,88.7,35.6,80.1,42.0,B,Pass
449,3.8,96.1,24.6,71.5,23.4,C,Pass
450,0.8,77.8,47.4,33.7,39.2,C,Pass
451,7.8,64.8,41.6,61.8,26.8,B,Pass
452,5.6,73.2,97.3,77.2,33.1,B,Pass
453,4.2,90.8,64.6,77.4,43.3,B,Pass
454,9.1,69.9,47.8,56.1,42.2,C,Pass
455,1.1,32.1,66.4,95.9,44.7,F,Fail
456,4.9,95.2,31.1,41.7,12.4,F,Fail
457,0.1,78.3,55.5,65.0,37.7,B,Pass
458,4.7,77.4,70.1,78.4,15.6,B,Pass
459,0.6,45.1,59.1,78.8,26.6,C,Pass
460,1.2,76.1,52.1,75.4,31.9,B,Pass
461,1.2,57.6,99.5,49.3,26.1,C,Pass
462,6.5,75.6,90.4,40.9,30.8,B,Pass
463,7.5,37.5,69.9,74.5,49.9,B,Pass
464,5.8,76.0,65.6,72.0,15.4,B,Pass
465,9.6,100.0,69.7,42.6,37.0,B,Pass
466,3.7,33.4,36.1,79.4,25.8,F,Fail
467,2.9,98.4,51.6,61.9,15.3,C,Pass
468,8.7,58.5,23.2,76.7,16.3,C,Pass
469,2.2,91.0,58.0,88.6,48.0,B,Pass
470,9.6,84.8,63.4,41.9,45.2,B,Pass
471,0.1,69.7,38.2,31.3,46.3,F,Fail
472,9.7,81.7,97.1,84.5,49.7,B,Pass
473,0.4,91.5,92.8,72.7,18.3,B,Pass
474,8.9,58.3,77.8,79.0,24.2,B,Pass
475,5.3,52.9,62.7,88.7,36.8,B,Pass
476,9.9,76.7,89.6,86.2,29.4,B,Pass
477,0.7,86.5,30.5,97.3,26.7,F,Fail
478,5.5,83.4,83.2,67.5,24.3,F,Fail
479,9.7,85.8,30.0,64.2,33.8,B,Pass
480,5.2,60.5,83.5,58.1,33.0,C,Pass
481,6.3,87.2,42.1,40.8,16.5,B,Pass
482,7.0,38.4,90.2,70.1,28.9,B,Pass
483,4.5,68.1,95.5,49.4,32.1,B,Pass
484,6.3,30.4,31.9,94.5,32.8,F,Fail
485,5.8,52.7,57.0,70.8,18.4,C,Pass
486,9.0,55.7,98.5,71.5,39.7,B,Pass
487,0.5,57.7,58.7,54.8,11.0,F,Fail
488,2.8,78.7,89.1,33.6,24.2,C,Pass
489,9.5,57.2,67.1,32.2,41.2,C,Pass
490,8.9,61.4,50.0,59.6,32.6,F,Fail
491,4.6,46.6,42.9,35.9,20.4,F,Fail
492,6.2,56.1,36.3,72.5,37.8,C,Pass
493,2.8,45.9,80.9,91.7,32.7,C,Pass
494,1.9,35.1,50.9,91.8,41.8,C,Pass
495,4.6,72.2,60.9,76.1,39.4,B,Pass
496,3.5,76.8,59.4,44.8,34.4,C,Pass
497,5.8,73.4,66.2,90.4,29.5,B,Pass
